Date,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_Áß±¹_impact_score_sum,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_Áß±¹_impact_score_mean,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_Áß±¹_pos_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_Áß±¹_neg_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_Áß±¹_sentiment
2019.5.10 0:00,-9,-3,0,3,-1
2019.5.17 0:00,-10,-5,0,2,-1
2019.5.24 0:00,-4,-2,1,1,-1
2019.5.31 0:00,-8,-4,0,2,-1
2019.6.7 0:00,5,5,1,0,1
2019.6.14 0:00,0,0,0,0,0
2019.6.21 0:00,-1,-1,0,1,-1
2019.6.28 0:00,-2,-2,0,1,-1
2019.7.5 0:00,0,0,0,0,0
2019.7.12 0:00,1,1,1,0,1
2019.7.19 0:00,0,0,0,0,0
2019.7.26 0:00,0,0,0,0,0
2019.8.2 0:00,5,5,1,0,1
2019.8.9 0:00,0,0,0,0,0
2019.8.16 0:00,0,0,0,0,0
2019.8.23 0:00,0,0,0,0,0
2019.8.30 0:00,3,1,2,1,1
2019.9.6 0:00,5,5,1,0,1
2019.9.13 0:00,0,0,0,0,0
2019.9.20 0:00,0,0,0,0,0
2019.9.27 0:00,0,0,0,0,0
2019.10.4 0:00,0,0,0,0,0
2019.10.11 0:00,0,0,0,0,0
2019.10.18 0:00,0,0,0,0,0
2019.10.25 0:00,0,0,0,0,0
2019.11.1 0:00,0,0,0,0,0
2019.11.8 0:00,-5,-5,0,1,-1
2019.11.15 0:00,-5,-5,0,1,-1
2019.11.22 0:00,-6,-6,0,1,-1
2019.11.29 0:00,-2,-2,0,1,-1
2019.12.6 0:00,-7,-7,0,1,-1
2019.12.13 0:00,0,0,0,0,0
2019.12.20 0:00,0,0,0,0,0
2019.12.27 0:00,0,0,0,0,0
2020.1.3 0:00,3,3,1,0,1
2020.1.10 0:00,-3,-3,0,1,-1
2020.1.17 0:00,0,0,0,0,0
2020.1.24 0:00,0,0,0,0,0
2020.1.31 0:00,12,6,2,0,1
2020.2.7 0:00,0,0,0,0,0
2020.2.14 0:00,0,0,0,0,0
2020.2.21 0:00,0,0,0,0,0
2020.2.28 0:00,5,5,1,0,1
2020.3.6 0:00,-3,-1.5,1,1,-1
2020.3.13 0:00,0,0,0,0,0
2020.3.20 0:00,0,0,0,0,0
2020.3.27 0:00,-2,-1,1,1,-1
2020.4.3 0:00,-11,-5.5,0,2,-1
2020.4.10 0:00,0,0,0,0,0
2020.4.17 0:00,0,0,0,0,0
2020.4.24 0:00,-3,-3,0,1,-1
2020.5.1 0:00,2,2,1,0,1
2020.5.8 0:00,-12,-4,0,3,-1
2020.5.15 0:00,-5,-5,0,1,-1
2020.5.22 0:00,-5,-5,0,1,-1
2020.5.29 0:00,0,0,0,0,0
2020.6.5 0:00,0,0,0,0,0
2020.6.12 0:00,0,0,0,0,0
2020.6.19 0:00,0,0,0,0,0
2020.6.26 0:00,-16,-5.333333333,0,3,-1
2020.7.3 0:00,5,5,1,0,1
2020.7.10 0:00,5,5,1,0,1
2020.7.17 0:00,0,0,0,0,0
2020.7.24 0:00,-3,-0.75,1,3,-1
2020.7.31 0:00,-2,-2,0,1,-1
2020.8.7 0:00,0,0,0,0,0
2020.8.14 0:00,0,0,0,0,0
2020.8.21 0:00,-10,-3.333333333,0,3,-1
2020.8.28 0:00,0,0,0,0,0
2020.9.4 0:00,5,5,1,0,1
2020.9.11 0:00,0,0,0,0,0
2020.9.18 0:00,3,3,1,0,1
2020.9.25 0:00,2,2,1,0,1
2020.10.2 0:00,6,3,2,0,1
2020.10.9 0:00,0,0,0,0,0
2020.10.16 0:00,0,0,0,0,0
2020.10.23 0:00,-3,-3,0,1,-1
2020.10.30 0:00,0,0,0,0,0
2020.11.6 0:00,0,0,0,0,0
2020.11.13 0:00,2,2,1,0,1
2020.11.20 0:00,1,1,1,0,1
2020.11.27 0:00,-3,-3,0,1,-1
2020.12.4 0:00,2,2,1,0,1
2020.12.11 0:00,0,0,0,0,0
2020.12.18 0:00,-13,-4.333333333,0,3,-1
2020.12.25 0:00,-8,-4,0,2,-1
2021.1.1 0:00,0,0,0,0,0
2021.1.8 0:00,0,0,0,0,0
2021.1.15 0:00,4,4,1,0,1
2021.1.22 0:00,4,2,1,1,1
2021.1.29 0:00,0,0,0,0,0
2021.2.5 0:00,-12,-4,0,3,-1
2021.2.12 0:00,0,0,0,0,0
2021.2.19 0:00,5,5,1,0,1
2021.2.26 0:00,10,10,1,0,1
2021.3.5 0:00,0,0,0,0,0
2021.3.12 0:00,4,4,1,0,1
2021.3.19 0:00,0,0,0,0,0
2021.3.26 0:00,0,0,0,0,0
2021.4.2 0:00,3,3,1,0,1
2021.4.9 0:00,0,0,0,0,0
2021.4.16 0:00,0,0,0,0,0
2021.4.23 0:00,-4,-4,0,1,-1
2021.4.30 0:00,0,0,0,0,0
2021.5.7 0:00,0,0,0,0,0
2021.5.14 0:00,0,0,0,0,0
2021.5.21 0:00,5,2.5,2,0,1
2021.5.28 0:00,0,0,0,0,0
2021.6.4 0:00,-2,-2,0,1,-1
2021.6.11 0:00,0,0,1,1,0
2021.6.18 0:00,0,0,0,0,0
2021.6.25 0:00,0,0,0,0,0
2021.7.2 0:00,0,0,0,0,0
2021.7.9 0:00,0,0,0,0,0
2021.7.16 0:00,0,0,0,0,0
2021.7.23 0:00,-5,-2.5,0,2,-1
2021.7.30 0:00,0,0,0,0,0
2021.8.6 0:00,-2,-0.333333333,3,3,-1
2021.8.13 0:00,0,0,0,0,0
2021.8.20 0:00,0,0,0,0,0
2021.8.27 0:00,0,0,0,0,0
2021.9.3 0:00,0,0,0,0,0
2021.9.10 0:00,0,0,0,0,0
2021.9.17 0:00,-1,-1,0,1,-1
2021.9.24 0:00,-3,-3,0,1,-1
2021.10.1 0:00,-5,-5,0,1,-1
2021.10.8 0:00,-3,-3,0,1,-1
2021.10.15 0:00,0,0,0,0,0
2021.10.22 0:00,0,0,3,2,0
2021.10.29 0:00,2,2,1,0,1
2021.11.5 0:00,0,0,0,0,0
2021.11.12 0:00,0,0,0,0,0
2021.11.19 0:00,-2,-1,1,1,-1
2021.11.26 0:00,4,1.333333333,2,1,1
2021.12.3 0:00,0,0,0,0,0
2021.12.10 0:00,3,3,1,0,1
2021.12.17 0:00,-8,-2.666666667,1,2,-1
2021.12.24 0:00,3,1,2,1,1
2021.12.31 0:00,-8,-8,0,1,-1
2022.1.7 0:00,0,0,0,0,0
2022.1.14 0:00,8,8,1,0,1
2022.1.21 0:00,-5,-5,0,1,-1
2022.1.28 0:00,-5,-5,0,1,-1
2022.2.4 0:00,-3,-1.5,1,1,-1
2022.2.11 0:00,-5,-5,0,1,-1
2022.2.18 0:00,0,0,0,0,0
2022.2.25 0:00,2,2,1,0,1
2022.3.4 0:00,12,2,5,1,1
2022.3.11 0:00,0,0,1,1,0
2022.3.18 0:00,29,2.230769231,9,4,1
2022.3.25 0:00,30,6,5,0,1
2022.4.1 0:00,45,4.5,9,1,1
2022.4.8 0:00,-1,-0.333333333,2,1,-1
2022.4.15 0:00,9,1.8,3,2,1
2022.4.22 0:00,14,4.666666667,3,0,1
2022.4.29 0:00,24,4,5,1,1
2022.5.6 0:00,10,5,2,0,1
2022.5.13 0:00,2,0.5,2,2,1
2022.5.20 0:00,2,2,1,0,1
2022.5.27 0:00,6,2,2,1,1
2022.6.3 0:00,1,1,1,0,1
2022.6.10 0:00,5,5,1,0,1
2022.6.17 0:00,-2,-0.666666667,1,2,-1
2022.6.24 0:00,-5,-5,0,1,-1
2022.7.1 0:00,12,2,5,1,1
2022.7.8 0:00,-3,-3,0,1,-1
2022.7.15 0:00,5,5,1,0,1
2022.7.22 0:00,-5,-5,0,1,-1
2022.7.29 0:00,6,1,4,2,1
2022.8.5 0:00,19,6.333333333,3,0,1
2022.8.12 0:00,18,4.5,4,0,1
2022.8.19 0:00,20,6.666666667,3,0,1
2022.8.26 0:00,0,0,0,0,0
2022.9.2 0:00,3,1,2,1,1
2022.9.9 0:00,0,0,0,0,0
2022.9.16 0:00,0,0,0,0,0
2022.9.23 0:00,6,6,1,0,1
2022.9.30 0:00,0,0,0,0,0
2022.10.7 0:00,3,1.5,1,1,1
2022.10.14 0:00,0,0,0,0,0
2022.10.21 0:00,9,4.5,2,0,1
2022.10.28 0:00,7,3.5,2,0,1
2022.11.4 0:00,-12,-3,1,3,-1
2022.11.11 0:00,-3,-1.5,1,1,-1
2022.11.18 0:00,-11,-3.666666667,0,3,-1
2022.11.25 0:00,3,1.5,1,1,1
2022.12.2 0:00,-3,-0.75,2,2,-1
2022.12.9 0:00,13,4.333333333,3,0,1
2022.12.16 0:00,-4,-2,0,2,-1
2022.12.23 0:00,-6,-2,1,2,-1
2022.12.30 0:00,-2,-2,0,1,-1
2023.1.6 0:00,-3,-3,0,1,-1
2023.1.13 0:00,5,5,1,0,1
2023.1.20 0:00,0,0,0,0,0
2023.1.27 0:00,5,5,1,0,1
2023.2.3 0:00,3,1.5,1,1,1
2023.2.10 0:00,-5,-5,0,1,-1
2023.2.17 0:00,6,6,1,0,1
2023.2.24 0:00,16,3.2,5,0,1
2023.3.3 0:00,10,2.5,3,1,1
2023.3.10 0:00,0,0,0,0,0
2023.3.17 0:00,0,0,0,0,0
2023.3.24 0:00,10,5,2,0,1
2023.3.31 0:00,18,3.6,4,1,1
2023.4.7 0:00,9,4.5,2,0,1
2023.4.14 0:00,13,6.5,2,0,1
2023.4.21 0:00,0,0,0,0,0
2023.4.28 0:00,11,5.5,2,0,1
2023.5.5 0:00,-4,-2,1,1,-1
2023.5.12 0:00,0,0,0,0,0
2023.5.19 0:00,-4,-2,1,1,-1
2023.5.26 0:00,0,0,0,0,0
2023.6.2 0:00,5,2.5,1,1,1
2023.6.9 0:00,0,0,0,0,0
2023.6.16 0:00,0,0,0,0,0
2023.6.23 0:00,13,4.333333333,3,0,1
2023.6.30 0:00,12,4,3,0,1
2023.7.7 0:00,23,5.75,4,0,1
2023.7.14 0:00,3,1.5,1,1,1
2023.7.21 0:00,-5,-5,0,1,-1
2023.7.28 0:00,17,4.25,4,0,1
2023.8.4 0:00,6,3,2,0,1
2023.8.11 0:00,4,2,2,0,1
2023.8.18 0:00,5,5,1,0,1
2023.8.25 0:00,15,7.5,2,0,1
2023.9.1 0:00,1,0.5,1,1,1
2023.9.8 0:00,3,3,1,0,1
2023.9.15 0:00,-10,-2.5,1,3,-1
2023.9.22 0:00,-5,-2.5,1,1,-1
2023.9.29 0:00,10,10,1,0,1
2023.10.6 0:00,13,4.333333333,3,0,1
2023.10.13 0:00,3,3,1,0,1
2023.10.20 0:00,12,2,4,2,1
2023.10.27 0:00,9,2.25,3,1,1
2023.11.3 0:00,-7,-7,0,1,-1
2023.11.10 0:00,6,2,2,1,1
2023.11.17 0:00,-2,-2,0,1,-1
2023.11.24 0:00,3,3,1,0,1
2023.12.1 0:00,-4,-1,1,3,-1
2023.12.8 0:00,9,2.25,3,1,1
2023.12.15 0:00,5,1.666666667,2,1,1
2023.12.22 0:00,31,7.75,4,0,1
2023.12.29 0:00,9,4.5,2,0,1
2024.1.5 0:00,-13,-4.333333333,0,3,-1
2024.1.12 0:00,-9,-1.8,2,3,-1
2024.1.19 0:00,-26,-3.25,2,6,-1
2024.1.26 0:00,-12,-3,0,4,-1
2024.2.2 0:00,-13,-3.25,1,3,-1
2024.2.9 0:00,8,1.6,3,2,1
2024.2.16 0:00,22,5.5,4,0,1
2024.2.23 0:00,21,3,6,1,1
2024.3.1 0:00,13,4.333333333,3,0,1
2024.3.8 0:00,0,0,0,0,0
2024.3.15 0:00,-1,-0.333333333,2,1,-1
2024.3.22 0:00,6,2,2,1,1
2024.3.29 0:00,4,1,2,2,1
2024.4.5 0:00,6,2,2,1,1
2024.4.12 0:00,11,2.75,4,0,1
2024.4.19 0:00,14,2.8,3,2,1
2024.4.26 0:00,15,7.5,2,0,1
2024.5.3 0:00,5,1.25,2,2,1
2024.5.10 0:00,-5,-5,0,1,-1
2024.5.17 0:00,-84,-5.6,1,14,-1
2024.5.24 0:00,-16,-2.285714286,3,4,-1
2024.5.31 0:00,-7,-1.75,1,3,-1
2024.6.7 0:00,23,3.833333333,5,1,1
2024.6.14 0:00,-4,-1.333333333,1,2,-1
2024.6.21 0:00,11,2.2,4,1,1
2024.6.28 0:00,0,0,1,1,0
2024.7.5 0:00,10,5,2,0,1
2024.7.12 0:00,2,0.666666667,2,1,1
2024.7.19 0:00,-3,-1.5,1,1,-1
2024.7.26 0:00,4,1,3,1,1
2024.8.2 0:00,5,1.666666667,2,1,1
2024.8.9 0:00,12,3,3,1,1
2024.8.16 0:00,13,2.6,3,2,1
2024.8.23 0:00,0,0,1,1,0
2024.8.30 0:00,-4,-2,1,1,-1
2024.9.6 0:00,19,3.8,4,1,1
2024.9.13 0:00,12,4,3,0,1
2024.9.20 0:00,5,1.666666667,2,1,1
2024.9.27 0:00,8,1,6,2,1
2024.10.4 0:00,7,2.333333333,2,1,1
2024.10.11 0:00,8,2.666666667,2,1,1
2024.10.18 0:00,37,6.166666667,6,0,1
2024.10.25 0:00,3,3,1,0,1
2024.11.1 0:00,-12,-1.5,2,6,-1
2024.11.8 0:00,-21,-4.2,1,4,-1
2024.11.15 0:00,31,6.2,5,0,1
2024.11.22 0:00,15,1.5,6,4,1
2024.11.29 0:00,1,0.2,3,2,1
2024.12.6 0:00,169,6.5,22,4,1
2024.12.13 0:00,22,2.444444444,6,3,1
2024.12.20 0:00,21,2.625,6,2,1
2024.12.27 0:00,15,5,3,0,1
